"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNAPC3",1.18396653798176e-06,0.296365667491378,0.889,0.561,0.0142892921469019,"2","SNAPC3"
"CLCN7",1.18870029898784e-06,0.331511012191761,0.728,0.41,0.0143464239084842,"2","CLCN7"
"FZR1",1.19298685933497e-06,0.320066037786199,0.753,0.47,0.0143981584053138,"2","FZR1"
"RAPGEF1",1.19638133323317e-06,0.256498891322568,0.593,0.277,0.0144391263107911,"2","RAPGEF1"
"BRI3",1.19753728116726e-06,0.331422762268244,0.877,0.683,0.0144530774464077,"2","BRI3"
"C17orf49",1.19777540132982e-06,0.330220914670947,0.778,0.461,0.0144559513186496,"2","C17orf49"
"MAPRE3",1.20895623186809e-06,0.376832835339918,0.901,0.775,0.014590892762416,"2","MAPRE3"
"TSPAN9",1.23146819157226e-06,0.480663270690599,0.741,0.526,0.0148625896040857,"2","TSPAN9"
"CORO7",1.23612599157044e-06,0.29083813094053,0.494,0.223,0.0149188045922637,"2","CORO7"
"DCTN2",1.23993891608524e-06,0.274150202730841,0.877,0.661,0.0149648227782328,"2","DCTN2"
"EIF2AK4",1.24411259554156e-06,0.252271643420228,0.469,0.201,0.0150151949155911,"2","EIF2AK4"
"YAE1",1.24960060397843e-06,0.278472975249725,0.617,0.293,0.0150814296894157,"2","YAE1"
"ARL16",1.27718628255702e-06,0.307103327639936,0.815,0.511,0.0154143612441806,"2","ARL16"
"PHLDB1",1.30070549568936e-06,0.255250294275015,0.494,0.22,0.0156982146274749,"2","PHLDB1"
"PCDHB3",1.31658938207645e-06,0.251882174255091,0.543,0.245,0.0158899172522806,"2","PCDHB3"
"FAM160A1",1.32223370104723e-06,0.309339631193141,0.358,0.142,0.015958038537939,"2","FAM160A1"
"JADE1",1.3229718302207e-06,0.334682479307604,0.469,0.208,0.0159669470189336,"2","JADE1"
"ARL8A",1.34448923984802e-06,0.269127363205647,0.704,0.362,0.0162266406357257,"2","ARL8A"
"AEBP2",1.36969835075575e-06,0.304204595486849,0.975,0.926,0.0165308893952712,"2","AEBP2"
"CDK12",1.41016628240033e-06,0.284918159396712,0.481,0.216,0.0170192968622896,"2","CDK12"
"WAPL",1.44235321584848e-06,0.266815014546584,0.506,0.227,0.0174077609620753,"2","WAPL"
"AMBRA1",1.45414799626087e-06,0.301429870858377,0.469,0.212,0.0175501121668725,"2","AMBRA1"
"SHB",1.48534986598906e-06,0.33630667879341,0.494,0.225,0.017926687532622,"2","SHB"
"AAMP",1.5242531598369e-06,0.310784493648298,0.84,0.566,0.0183962113860715,"2","AAMP"
"PCGF1",1.53052893841882e-06,0.251254401135729,0.42,0.173,0.0184719537577768,"2","PCGF1"
"MXRA7",1.53636657422891e-06,0.398473225427993,0.951,0.882,0.0185424081843687,"2","MXRA7"
"RASSF8",1.54388911076109e-06,0.344199263096481,0.642,0.327,0.0186331976777756,"2","RASSF8"
"RORB1",1.5502686109374e-06,0.460064818168124,0.864,0.779,0.0187101918654035,"2","RORB"
"MLF2",1.55659814792591e-06,0.353761274758001,0.778,0.509,0.0187865830473178,"2","MLF2"
"EXOC7",1.57111334117819e-06,0.300938992753967,0.938,0.803,0.0189617669146796,"2","EXOC7"
"COG7",1.60384529780344e-06,0.294389289727169,0.667,0.339,0.0193568088991897,"2","COG7"
"PYGO2",1.66362053286594e-06,0.258548789106389,0.457,0.197,0.020078236211159,"2","PYGO2"
"NAA16",1.67121417864895e-06,0.252061373050775,0.593,0.277,0.0201698839221142,"2","NAA16"
"KAT5",1.74067112286154e-06,0.329955648359666,0.852,0.572,0.0210081597818159,"2","KAT5"
"PTH1R",1.77111177916196e-06,0.257817930795924,0.272,0.089,0.0213755480627057,"2","PTH1R"
"KIF13A",1.77239628615348e-06,0.38434263439767,0.654,0.36,0.0213910507775863,"2","KIF13A"
"P4HB",1.77250464448568e-06,0.354137245181798,0.519,0.247,0.0213923585542976,"2","P4HB"
"CDC42BPB",1.77417413802801e-06,0.32428734721193,0.864,0.67,0.0214125076718601,"2","CDC42BPB"
"H1FX",1.82085015006843e-06,0.268895302433532,1,0.952,0.0219758404611759,"2","H1FX"
"AC118549.1",1.82629866258252e-06,0.291087926636918,0.444,0.192,0.0220415985587085,"2","AC118549.1"
"ZBTB22",1.83674971609623e-06,0.293593826425008,0.519,0.242,0.0221677323235654,"2","ZBTB22"
"RMND5B",1.86333466700167e-06,0.251973411886166,0.457,0.199,0.0224885860960432,"2","RMND5B"
"WDR37",1.86386464551235e-06,0.297688423807056,0.728,0.389,0.0224949824066886,"2","WDR37"
"ZNF75A",1.94814279315471e-06,0.284234255595855,0.864,0.5,0.0235121353705842,"2","ZNF75A"
"PNMA1",1.96754559085894e-06,0.342533509107068,0.765,0.45,0.0237463077360766,"2","PNMA1"
"MAP21",2.02900234271718e-06,0.354449550636181,0.543,0.255,0.0244880292742536,"2","MAP2"
